epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,683.932,2.16718,3.388,2.52956,0.58887,0.51,0.53667,0.26907,1.75578,1.92044,2.47799,0.000333,0.000333,0.067033
2,1087.6,1.71571,1.77993,2.04485,0.82824,0.80046,0.8588,0.52485,1.42829,0.92863,2.00044,0.000663035,0.000663035,0.0340297
3,1486.03,1.53168,1.25157,1.90331,0.84657,0.844,0.8951,0.55957,1.40843,0.78838,1.93701,0.00098977,0.00098977,0.0010231
4,1903.9,1.49896,1.08213,1.85697,0.88266,0.858,0.92113,0.59204,1.36775,0.75072,1.84049,0.00098515,0.00098515,0.00098515
5,2311.89,1.48289,0.98125,1.79601,0.87304,0.86647,0.91646,0.5875,1.36117,0.68581,1.73784,0.0009802,0.0009802,0.0009802
6,2712.13,1.48079,0.96043,1.72352,0.88835,0.864,0.91963,0.60048,1.33683,0.67063,1.73849,0.00097525,0.00097525,0.00097525
7,3098.27,1.44586,0.88926,1.73015,0.86798,0.89418,0.928,0.61077,1.32336,0.64593,1.78095,0.0009703,0.0009703,0.0009703
8,3507.95,1.45201,0.88654,1.74631,0.91415,0.89449,0.94206,0.60985,1.32874,0.63944,1.72429,0.00096535,0.00096535,0.00096535
9,3892.76,1.43078,0.84894,1.716,0.90474,0.91179,0.94703,0.6189,1.35212,0.57878,1.78566,0.0009604,0.0009604,0.0009604
10,4283.55,1.44682,0.85461,1.71313,0.908,0.902,0.93926,0.62076,1.31809,0.60355,1.73573,0.00095545,0.00095545,0.00095545
11,4690.46,1.41609,0.83765,1.71512,0.90146,0.904,0.9372,0.6134,1.34412,0.62952,1.74878,0.0009505,0.0009505,0.0009505
12,5072.83,1.43751,0.83879,1.6874,0.87566,0.92957,0.93059,0.60095,1.34968,0.6093,1.75659,0.00094555,0.00094555,0.00094555
13,5480.47,1.42567,0.82499,1.68877,0.90985,0.90833,0.94491,0.60946,1.32753,0.60884,1.70284,0.0009406,0.0009406,0.0009406
14,5886.38,1.41598,0.81037,1.7148,0.89351,0.93973,0.94146,0.62064,1.29908,0.5642,1.73514,0.00093565,0.00093565,0.00093565
15,6286.65,1.42083,0.79063,1.70541,0.89816,0.93486,0.95048,0.6345,1.296,0.56367,1.75356,0.0009307,0.0009307,0.0009307
16,6693.5,1.40396,0.79368,1.68597,0.88988,0.90508,0.93253,0.59548,1.3837,0.60421,1.83281,0.00092575,0.00092575,0.00092575
17,7102.05,1.40847,0.78902,1.72472,0.89555,0.924,0.94402,0.62661,1.28505,0.56802,1.73222,0.0009208,0.0009208,0.0009208
18,7504.7,1.37564,0.76335,1.67777,0.89088,0.946,0.9383,0.61844,1.31472,0.59244,1.72028,0.00091585,0.00091585,0.00091585
19,7922.35,1.41543,0.77963,1.65145,0.9024,0.908,0.93683,0.60903,1.33678,0.58815,1.75019,0.0009109,0.0009109,0.0009109
20,8309.88,1.38177,0.75756,1.65738,0.89348,0.9227,0.94079,0.61044,1.31925,0.57189,1.75966,0.00090595,0.00090595,0.00090595
21,8712.17,1.39737,0.77382,1.6898,0.89188,0.91,0.94029,0.61533,1.33943,0.58574,1.76424,0.000901,0.000901,0.000901
22,9123.83,1.40336,0.76086,1.6542,0.90995,0.92968,0.94999,0.62988,1.30976,0.54011,1.68212,0.00089605,0.00089605,0.00089605
23,9513.03,1.41973,0.7524,1.62485,0.91698,0.90572,0.95505,0.62254,1.33295,0.56627,1.75874,0.0008911,0.0008911,0.0008911
24,9913.92,1.36525,0.73417,1.64869,0.9026,0.93,0.95402,0.62975,1.31157,0.54829,1.72851,0.00088615,0.00088615,0.00088615
25,10331.1,1.35745,0.73385,1.66491,0.90231,0.922,0.94485,0.612,1.32219,0.55807,1.77327,0.0008812,0.0008812,0.0008812
26,10728.6,1.35171,0.70747,1.6299,0.92517,0.91493,0.94777,0.62078,1.29269,0.53501,1.70723,0.00087625,0.00087625,0.00087625
27,11119,1.32974,0.70851,1.62952,0.90697,0.94,0.95099,0.62022,1.30516,0.554,1.72933,0.0008713,0.0008713,0.0008713
28,11519.4,1.34249,0.71757,1.6457,0.90174,0.942,0.95003,0.62523,1.32664,0.52451,1.7523,0.00086635,0.00086635,0.00086635
29,11936.2,1.34066,0.72173,1.66483,0.90816,0.926,0.9395,0.62119,1.2978,0.56114,1.73519,0.0008614,0.0008614,0.0008614
30,12361.5,1.33716,0.70254,1.67163,0.92092,0.93166,0.94799,0.62969,1.32949,0.5229,1.75722,0.00085645,0.00085645,0.00085645
31,12761.6,1.33325,0.68694,1.63057,0.90388,0.924,0.95145,0.62493,1.32357,0.53572,1.73699,0.0008515,0.0008515,0.0008515
32,13154.7,1.3148,0.70012,1.63403,0.92661,0.94,0.95616,0.63788,1.2899,0.51171,1.71531,0.00084655,0.00084655,0.00084655
33,13553.2,1.33891,0.70125,1.61536,0.92106,0.93,0.94121,0.62091,1.29699,0.53484,1.73498,0.0008416,0.0008416,0.0008416
34,13941.5,1.33098,0.7087,1.63231,0.92345,0.924,0.95429,0.63292,1.29847,0.5358,1.73446,0.00083665,0.00083665,0.00083665
35,14340.2,1.33486,0.72113,1.64286,0.91485,0.942,0.95146,0.63236,1.32663,0.52665,1.81216,0.0008317,0.0008317,0.0008317
36,14733.1,1.31778,0.68287,1.64273,0.9253,0.924,0.95419,0.61931,1.33414,0.5318,1.82045,0.00082675,0.00082675,0.00082675
37,15132,1.35374,0.7018,1.62641,0.9281,0.92934,0.95603,0.6155,1.35464,0.52974,1.77207,0.0008218,0.0008218,0.0008218
38,15519.9,1.36085,0.6973,1.63486,0.9169,0.942,0.95844,0.63354,1.30295,0.5221,1.79622,0.00081685,0.00081685,0.00081685
39,15933.6,1.33203,0.70344,1.6503,0.91296,0.936,0.94524,0.63544,1.27962,0.51693,1.77119,0.0008119,0.0008119,0.0008119
40,16336,1.32446,0.67188,1.63166,0.91847,0.95,0.9489,0.62609,1.30207,0.51649,1.78842,0.00080695,0.00080695,0.00080695
41,16742.6,1.30945,0.68697,1.63212,0.90433,0.954,0.95989,0.63416,1.30298,0.50785,1.74824,0.000802,0.000802,0.000802
42,17144.7,1.31457,0.6806,1.61941,0.92553,0.914,0.95354,0.63317,1.29732,0.5202,1.76205,0.00079705,0.00079705,0.00079705
43,17558,1.27573,0.66155,1.61594,0.90677,0.95,0.95759,0.63382,1.30524,0.50691,1.76117,0.0007921,0.0007921,0.0007921
44,17980.7,1.27261,0.65961,1.62092,0.92133,0.946,0.96489,0.63822,1.29551,0.50032,1.70486,0.00078715,0.00078715,0.00078715
45,18395.6,1.29039,0.6585,1.61744,0.89636,0.954,0.95526,0.6412,1.29685,0.51965,1.78823,0.0007822,0.0007822,0.0007822
46,18795.3,1.31081,0.65957,1.60995,0.91996,0.94243,0.9569,0.62708,1.32526,0.50871,1.80804,0.00077725,0.00077725,0.00077725
47,19201.8,1.2857,0.66356,1.59317,0.93109,0.94581,0.96935,0.63831,1.31469,0.50303,1.77107,0.0007723,0.0007723,0.0007723
48,19584.7,1.30261,0.66616,1.58017,0.91719,0.922,0.95513,0.63305,1.29781,0.53072,1.75079,0.00076735,0.00076735,0.00076735
49,19992.4,1.2906,0.66107,1.58799,0.92002,0.94332,0.96083,0.63384,1.28799,0.50788,1.72251,0.0007624,0.0007624,0.0007624
50,20392.7,1.28597,0.65794,1.54953,0.92659,0.93401,0.95394,0.63289,1.30017,0.50227,1.722,0.00075745,0.00075745,0.00075745
51,20813.3,1.26537,0.64361,1.5942,0.90643,0.946,0.95306,0.62951,1.30831,0.5119,1.72195,0.0007525,0.0007525,0.0007525
52,21207.6,1.27697,0.64073,1.56938,0.92919,0.916,0.96232,0.62832,1.32306,0.51192,1.80701,0.00074755,0.00074755,0.00074755
53,21594.7,1.28063,0.64738,1.57193,0.91975,0.936,0.96643,0.63845,1.30067,0.50485,1.73846,0.0007426,0.0007426,0.0007426
54,21993.9,1.28257,0.64928,1.56314,0.9223,0.926,0.96418,0.63496,1.31334,0.50538,1.71743,0.00073765,0.00073765,0.00073765
55,22397.4,1.25056,0.64138,1.59069,0.92546,0.94361,0.96469,0.63079,1.29633,0.5067,1.75095,0.0007327,0.0007327,0.0007327
56,22777.1,1.2494,0.63869,1.56666,0.92933,0.93,0.96021,0.62368,1.32429,0.51052,1.84446,0.00072775,0.00072775,0.00072775
57,23178.1,1.25721,0.64033,1.57246,0.92096,0.93214,0.96653,0.64099,1.30001,0.51536,1.74856,0.0007228,0.0007228,0.0007228
58,23578.6,1.22507,0.62111,1.55727,0.90404,0.96091,0.95121,0.62923,1.31345,0.49689,1.77037,0.00071785,0.00071785,0.00071785
59,23965.9,1.25377,0.63713,1.54183,0.91425,0.942,0.96108,0.63212,1.31585,0.50484,1.73634,0.0007129,0.0007129,0.0007129
60,24377,1.22766,0.61371,1.56869,0.91864,0.94848,0.96957,0.63176,1.32786,0.4931,1.79268,0.00070795,0.00070795,0.00070795
61,24762.8,1.25985,0.62046,1.54226,0.92239,0.938,0.96158,0.63486,1.32178,0.49666,1.75706,0.000703,0.000703,0.000703
62,25184.4,1.23547,0.62773,1.56019,0.912,0.95,0.96535,0.63554,1.31723,0.48613,1.7635,0.00069805,0.00069805,0.00069805
63,25582.6,1.22108,0.61201,1.54248,0.90088,0.95,0.95509,0.62829,1.33653,0.49898,1.78792,0.0006931,0.0006931,0.0006931
64,25974.6,1.21523,0.61735,1.54236,0.92506,0.936,0.96048,0.63927,1.31061,0.48826,1.72155,0.00068815,0.00068815,0.00068815
65,26376.7,1.23643,0.62461,1.55294,0.92496,0.93677,0.96427,0.627,1.32329,0.51079,1.73563,0.0006832,0.0006832,0.0006832
66,26782,1.24508,0.61956,1.52825,0.90579,0.948,0.9537,0.61824,1.33675,0.51313,1.74263,0.00067825,0.00067825,0.00067825
